56,CS G525,Advanced Computer Networks,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=242
57,CS G526,Advanced Algorithms & Complexity,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=244
58,CS G527,Cloud Computing,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=246
59,CS G623,Advanced Operating Systems,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=248
60,CS/ECE/EEE/INSTR F215,Digital Design,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=208
61,ECE F314,EM Fields & Micro Engineering,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=288
62,ECE/EEE F311,Communication Systems,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=278
63,ECE/EEE F434,Digital Signal Processing,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=290
64,ECE/EEE/INSTR F211,Electrical Machines,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=259
65,ECE/EEE/INSTR F214,Electronic Devices,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=275
66,ECE/EEE/INSTR/PHY F212,Electromagnetic Theory,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=267
67,ECON F211,Principles Of Economics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=295
68,ECON F212,Fundamentals Of Finance And Accounting,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=297
69,ECON F213,Mathematical & Statistical Methods,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=298
70,ECON F214,Economic Env Of Business,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=300
71,ECON F241,Econometric Methods,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=302
72,ECON F311,International Economics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=303
73,ECON F312,Moneybanking & Financial Markets,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=305
74,ECON F313,Issues In Economic Development,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=307
75,ECON F314,Industrial Economics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=309
76,ECON F351,Indian Economic Development,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=311
77,ECON F354,Derivatives And Risk Management,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=312
78,ECON F355,Business Analysis & Valuation,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=313
79,ECON F412/FIN F313,Security Analysis And Portfolio Management,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=314
80,ECON F418,Quantitative Analysis Of International Trade,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=315
81,ECON/FIN F315,Financial Management,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=310
82,EEE F111,Electrical Sciences,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=316
83,EEE F313,Analog And Digital VLSI Design,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=322
84,EEE F435,Digital Image Processing,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=326
85,EEE F474,Antenna Theory And Design,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=328
86,EEE G512,Embedded System Design,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=331
87,EEE G581,RF And Microwave Engineering,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=333
88,EEE G591,Optical Communication,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=335
89,EEE G612,Coding Theory And Practice,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=337
90,FIN F314,Investment Banking And Financial Services,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=343
91,HSS F232,Intro To Development Studies,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=349
92,HSS F235,Introducotry Philosophy,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=350
93,HSS F238,Sports And Society,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=351
94,HSS F266,Study Project PS1,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=579
95,HSS F328,Human Resources Development,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=352
96,HSS F331,Sankara's Thoughts,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=353
97,HSS F339,Theatre Art-Acting & Pro,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=354
98,HSS F346,International Relations,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=355
99,GS F332,Contemporary India,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=348
100,GS F322,Critical Analysis Of Literature & Cinema,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=347
101,GS F234,Development Economics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=346
102,GS F233,Public Policy,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=345
103,GS F231,Dynamics Of Social Change,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=344
104,IS F311,Computer Graphics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=250
105,IS F341,Software Engineering,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=251
106,CHE F211,Chemical Process Calcula,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=132
107,CHE F212,Fluid Mechanics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=134
108,CHE F213,Chemical Engineering Thermodynamics,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=136
109,CHE F214,Engineering Chemistry,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=138
110,CHE F266,Study Project,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=551
111,CHE F311,Kinetics & Reactor Design,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=140
112,CHE F312,Chemical Engineering Lab I ,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=142
113,CHE F313,Separation Processes II,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=143
114,CHE F314,Process Des Principles I,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=145
115,CHE F366,Lab Project,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=552
116,CHE F367,Lab Project II,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=553
117,CHE F413,Process Plant Safety,http://cms.bits-hyderabad.ac.in/moodle/course/view.php?id=147
